date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:28:31	1071/1071	---M--	200	added ('OK')	image/gif	etag:%2208142c85db5cd1:0%22	http://www.winsfordasc.co.uk/Resources/item2a.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2a.gif	(from http://www.winsfordasc.co.uk/memberssectiona.html)
06:28:31	12216/12216	---M--	200	added ('OK')	image/jpeg	etag:%22021d701313d01:0%22	http://www.winsfordasc.co.uk/Resources/infotopimage3.jpeg	wascPublic/wasc/www.winsfordasc.co.uk/Resources/infotopimage3.jpg	(from http://www.winsfordasc.co.uk/information.html)
06:28:31	36911/36911	---M--	200	added ('OK')	image/gif	etag:%2280e134801313d01:0%22	http://www.winsfordasc.co.uk/Resources/item6a.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item6a.gif	(from http://www.winsfordasc.co.uk/information.html)
06:28:31	355/355	---M--	200	added ('OK')	image/gif	etag:%2208142c85db5cd1:0%22	http://www.winsfordasc.co.uk/Resources/item2.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2.gif	(from http://www.winsfordasc.co.uk/memberssectiona.html)
06:28:32	1054/1054	---M--	200	added ('OK')	image/gif	etag:%2280499db43139cd1:0%22	http://www.winsfordasc.co.uk/Resources/item2ba.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2ba.gif	(from http://www.winsfordasc.co.uk/memberssectiona.html)
06:28:32	351/351	---M--	200	added ('OK')	image/gif	etag:%2201e4aa93139cd1:0%22	http://www.winsfordasc.co.uk/Resources/item2b.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2b.gif	(from http://www.winsfordasc.co.uk/memberssectiona.html)
06:28:32	1071/1071	---M--	200	added ('OK')	image/gif	etag:%2201e4aa93139cd1:0%22	http://www.winsfordasc.co.uk/Resources/item2b1a.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2b1a.gif	(from http://www.winsfordasc.co.uk/memberssectiona.html)
06:28:32	366/366	---M--	200	added ('OK')	image/gif	etag:%2201e4aa93139cd1:0%22	http://www.winsfordasc.co.uk/Resources/item2b1.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2b1.gif	(from http://www.winsfordasc.co.uk/memberssectiona.html)
06:28:32	1106/1106	---M--	200	added ('OK')	image/gif	etag:%2280e45ac3139cd1:0%22	http://www.winsfordasc.co.uk/Resources/item2b2a.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2b2a.gif	(from http://www.winsfordasc.co.uk/memberssectiona.html)
06:28:33	394/394	---M--	200	added ('OK')	image/gif	etag:%2204b7baa3139cd1:0%22	http://www.winsfordasc.co.uk/Resources/item2b2.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2b2.gif	(from http://www.winsfordasc.co.uk/memberssectiona.html)
06:28:33	1241/1241	---M--	200	added ('OK')	image/gif	etag:%22059a2b13139cd1:0%22	http://www.winsfordasc.co.uk/Resources/item2b3a.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2b3a.gif	(from http://www.winsfordasc.co.uk/memberssectiona.html)
06:28:33	468/468	---M--	200	added ('OK')	image/gif	etag:%22059a2b13139cd1:0%22	http://www.winsfordasc.co.uk/Resources/item2b3.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2b3.gif	(from http://www.winsfordasc.co.uk/memberssectiona.html)
06:28:33	1428/1428	---M--	200	added ('OK')	image/gif	etag:%220b34b43139cd1:0%22	http://www.winsfordasc.co.uk/Resources/item2b4b.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2b4b.gif	(from http://www.winsfordasc.co.uk/memberssectiona.html)
06:28:33	637/637	---M--	200	added ('OK')	image/gif	etag:%2280ef3ab23139cd1:0%22	http://www.winsfordasc.co.uk/Resources/item2b4.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2b4.gif	(from http://www.winsfordasc.co.uk/memberssectiona.html)
06:28:34	14353/14353	---M--	200	added ('OK')	image/jpeg	etag:%22063b0372b80d01:0%22	http://www.winsfordasc.co.uk/Resources/hometopimage3.jpeg	wascPublic/wasc/www.winsfordasc.co.uk/Resources/hometopimage3.jpg	(from http://www.winsfordasc.co.uk/memberssectiona.html)
06:28:34	2355/2355	---M--	200	added ('OK')	image/jpeg	etag:%2280f948382b80d01:0%22	http://www.winsfordasc.co.uk/Resources/hometopimage4.jpeg	wascPublic/wasc/www.winsfordasc.co.uk/Resources/hometopimage4.jpg	(from http://www.winsfordasc.co.uk/memberssectiona.html)
06:28:35	2755/2755	---M--	200	added ('OK')	image/jpeg	etag:%22090e1382b80d01:0%22	http://www.winsfordasc.co.uk/Resources/hometopimage5.jpeg	wascPublic/wasc/www.winsfordasc.co.uk/Resources/hometopimage5.jpg	(from http://www.winsfordasc.co.uk/memberssectiona.html)
06:28:35	3252/3252	---M--	200	added ('OK')	image/jpeg	etag:%2280267a392b80d01:0%22	http://www.winsfordasc.co.uk/Resources/hometopimage6.jpeg	wascPublic/wasc/www.winsfordasc.co.uk/Resources/hometopimage6.jpg	(from http://www.winsfordasc.co.uk/memberssectiona.html)
06:28:35	2112/2112	---M--	200	added ('OK')	image/png	etag:%2204af6163239cd1:0%22	http://www.winsfordasc.co.uk/Resources/titlebarwhitee.png	wascPublic/wasc/www.winsfordasc.co.uk/Resources/titlebarwhitee.png	(from http://www.winsfordasc.co.uk/memberssectiona.html)
06:28:35	452/452	---M--	200	added ('OK')	image/gif	etag:%228076ceb53139cd1:0%22	http://www.winsfordasc.co.uk/Resources/item2cb.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2cb.gif	(from http://www.winsfordasc.co.uk/contactus.html)
06:28:35	1188/1188	---M--	200	added ('OK')	image/gif	etag:%228076ceb53139cd1:0%22	http://www.winsfordasc.co.uk/Resources/item2cc.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2cc.gif	(from http://www.winsfordasc.co.uk/contactus.html)
06:28:36	1170/1170	---M--	200	added ('OK')	image/gif	etag:%2280499db43139cd1:0%22	http://www.winsfordasc.co.uk/Resources/item2b4d.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2b4d.gif	(from http://www.winsfordasc.co.uk/contactus.html)
06:28:36	445/445	---M--	200	added ('OK')	image/gif	etag:%2280499db43139cd1:0%22	http://www.winsfordasc.co.uk/Resources/item2b4c.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2b4c.gif	(from http://www.winsfordasc.co.uk/contactus.html)
06:28:36	1029/1029	---M--	200	added ('OK')	image/gif	etag:%2280b4e2a93139cd1:0%22	http://www.winsfordasc.co.uk/Resources/item2b1ab.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2b1ab.gif	(from http://www.winsfordasc.co.uk/contactus.html)
06:28:36	330/330	---M--	200	added ('OK')	image/gif	etag:%2280b4e2a93139cd1:0%22	http://www.winsfordasc.co.uk/Resources/item2b1aa.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2b1aa.gif	(from http://www.winsfordasc.co.uk/contactus.html)
06:28:36	1474/1474	---M--	200	added ('OK')	image/gif	etag:%228095d8af3139cd1:0%22	http://www.winsfordasc.co.uk/Resources/item2b2ab.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2b2ab.gif	(from http://www.winsfordasc.co.uk/contactus.html)
06:28:37	653/653	---M--	200	added ('OK')	image/gif	etag:%228095d8af3139cd1:0%22	http://www.winsfordasc.co.uk/Resources/item2b2aa.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2b2aa.gif	(from http://www.winsfordasc.co.uk/contactus.html)
06:28:37	50838/50838	---M--	200	added ('OK')	image/gif	etag:%22017753c2b80d01:0%22	http://www.winsfordasc.co.uk/Resources/item6a1.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item6a1.gif	(from http://www.winsfordasc.co.uk/memberssectiona.html)
06:28:37	1246/1246	---M--	200	added ('OK')	image/gif	etag:%22059a2b13139cd1:0%22	http://www.winsfordasc.co.uk/Resources/item2b3ab.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2b3ab.gif	(from http://www.winsfordasc.co.uk/contactus.html)
06:28:37	496/496	---M--	200	added ('OK')	image/gif	etag:%22059a2b13139cd1:0%22	http://www.winsfordasc.co.uk/Resources/item2b3aa.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2b3aa.gif	(from http://www.winsfordasc.co.uk/contactus.html)
06:28:37	1770/1770	---M--	200	added ('OK')	image/png	etag:%2201dc5153239cd1:0%22	http://www.winsfordasc.co.uk/Resources/titlebarwhite1d.png	wascPublic/wasc/www.winsfordasc.co.uk/Resources/titlebarwhite1d.png	(from http://www.winsfordasc.co.uk/contactus.html)
06:28:37	1150/1150	---M--	200	added ('OK')	image/gif	etag:%228076ceb53139cd1:0%22	http://www.winsfordasc.co.uk/Resources/item2ce.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2ce.gif	(from http://www.winsfordasc.co.uk/lessonsa.html)
06:28:38	402/402	---M--	200	added ('OK')	image/gif	etag:%228076ceb53139cd1:0%22	http://www.winsfordasc.co.uk/Resources/item2cd.gif	wascPublic/wasc/www.winsfordasc.co.uk/Resources/item2cd.gif	(from http://www.winsfordasc.co.uk/lessonsa.html)
06:28:38	1268/1268	---M--	200	added ('OK')	image/png	etag:%2201dc5153239cd1:0%22	http://www.winsfordasc.co.uk/Resources/titlebarwhite1e.png	wascPublic/wasc/www.winsfordasc.co.uk/Resources/titlebarwhite1e.png	(from http://www.winsfordasc.co.uk/lessonsa.html)
